data,valor,indicador
2016-08-01,0.44,ipca
2016-09-01,0.08,ipca
2016-10-01,0.26,ipca
2016-11-01,0.18,ipca
2016-12-01,0.3,ipca
2017-01-01,0.38,ipca
2017-02-01,0.33,ipca
2017-03-01,0.25,ipca
2017-04-01,0.14,ipca
2017-05-01,0.31,ipca
2017-06-01,-0.23,ipca
2017-07-01,0.24,ipca
2017-08-01,0.19,ipca
2017-09-01,0.16,ipca
2017-10-01,0.42,ipca
2017-11-01,0.28,ipca
2017-12-01,0.44,ipca
2018-01-01,0.29,ipca
2018-02-01,0.32,ipca
2018-03-01,0.09,ipca
2018-04-01,0.22,ipca
2018-05-01,0.4,ipca
2018-06-01,1.26,ipca
2018-07-01,0.33,ipca
2018-08-01,-0.09,ipca
2018-09-01,0.48,ipca
2018-10-01,0.45,ipca
2018-11-01,-0.21,ipca
2018-12-01,0.15,ipca
2019-01-01,0.32,ipca
2019-02-01,0.43,ipca
2019-03-01,0.75,ipca
2019-04-01,0.57,ipca
2019-05-01,0.13,ipca
2019-06-01,0.01,ipca
2019-07-01,0.19,ipca
2019-08-01,0.11,ipca
2019-09-01,-0.04,ipca
2019-10-01,0.1,ipca
2019-11-01,0.51,ipca
2019-12-01,1.15,ipca
2020-01-01,0.21,ipca
2020-02-01,0.25,ipca
2020-03-01,0.07,ipca
2020-04-01,-0.31,ipca
2020-05-01,-0.38,ipca
2020-06-01,0.26,ipca
2020-07-01,0.36,ipca
2020-08-01,0.24,ipca
2020-09-01,0.64,ipca
2020-10-01,0.86,ipca
2020-11-01,0.89,ipca
2020-12-01,1.35,ipca
2021-01-01,0.25,ipca
2021-02-01,0.86,ipca
2021-03-01,0.93,ipca
2021-04-01,0.31,ipca
2021-05-01,0.83,ipca
2021-06-01,0.53,ipca
2021-07-01,0.96,ipca
2021-08-01,0.87,ipca
2021-09-01,1.16,ipca
2021-10-01,1.25,ipca
2021-11-01,0.95,ipca
2021-12-01,0.73,ipca
2022-01-01,0.54,ipca
2022-02-01,1.01,ipca
2022-03-01,1.62,ipca
2022-04-01,1.06,ipca
2022-05-01,0.47,ipca
2022-06-01,0.67,ipca
2022-07-01,-0.68,ipca
2022-08-01,-0.36,ipca
2022-09-01,-0.29,ipca
2022-10-01,0.59,ipca
2022-11-01,0.41,ipca
2022-12-01,0.62,ipca
2023-01-01,0.53,ipca
2023-02-01,0.84,ipca
2023-03-01,0.71,ipca
2023-04-01,0.61,ipca
2023-05-01,0.23,ipca
2023-06-01,-0.08,ipca
2023-07-01,0.12,ipca
2023-08-01,0.23,ipca
2023-09-01,0.26,ipca
2023-10-01,0.24,ipca
2023-11-01,0.28,ipca
2023-12-01,0.56,ipca
2024-01-01,0.42,ipca
2024-02-01,0.83,ipca
2024-03-01,0.16,ipca
2024-04-01,0.38,ipca
2024-05-01,0.46,ipca
2024-06-01,0.21,ipca
2024-07-01,0.38,ipca
2024-08-01,-0.02,ipca
2024-09-01,0.44,ipca
2024-10-01,0.56,ipca
2024-11-01,0.39,ipca
2024-12-01,0.52,ipca
2025-01-01,0.16,ipca
2025-02-01,1.31,ipca
2025-03-01,0.56,ipca
2025-04-01,0.43,ipca
2025-05-01,0.26,ipca
2025-06-01,0.24,ipca
2025-07-01,0.26,ipca
2025-08-01,-0.11,ipca
2025-09-01,0.48,ipca
2025-10-01,0.09,ipca
2025-11-01,0.18,ipca
2025-12-01,0.33,ipca
2026-01-01,0.33,ipca
2026-02-01,0.7,ipca
2026-03-01,0.88,ipca
2026-04-01,0.67,ipca
2026-05-01,0.58,ipca
2026-06-01,0.16,ipca
2026-07-01,0.07,ipca
